office_from_id,horizon,rows,y_sum,wins,ties,win_rate,tie_rate,ml_mean_abs_err,strong_mean_abs_err,delta_abs_err_mean,expected_loss_abs_mean,expected_gain_abs_mean,expected_loss_wape_like,expected_gain_wape_like,ml_abs_err_sum,strong_abs_err_sum,gap_abs_err_sum,loss_abs_sum,gain_abs_sum
3,9,8829,469583.0,4943,0,0.5598595537433458,0.0,14.48637103220062,15.808928186051748,-1.3225571538511287,2.1426288562186118,3.4651860100697403,0.04028525345158177,0.06515169263560593,127900.16984329927,139577.02695465088,-11676.857111351615,18917.270171554122,30594.127282905738
3,10,8802,468298.0,4957,0,0.5631674619404681,0.0,14.455264653794652,15.99430729567639,-1.5390426418817376,2.2322240821578085,3.771266724039546,0.04195626795577395,0.07088368881566029,127235.23948270052,140781.89281654358,-13546.653333843054,19648.03637115303,33194.68970499608
4,1,2345,71039.0,1896,0,0.8085287846481877,0.0,6.178773224961815,19.749715687013637,-13.570942462051823,1.1103713215144015,14.681313783566225,0.036653398118656956,0.4846307073925984,14489.223212535457,46313.08328604698,-31823.860073511525,2603.8207489512715,34427.6808224628
4,2,2338,70950.0,1723,0,0.7369546621043627,0.0,9.41343786134187,19.960204571612987,-10.546766710271116,1.5627308787194756,12.109497588990592,0.051496332550333104,0.3990416541657506,22008.617719817295,46666.95828843117,-24658.340568613872,3653.664794446134,28312.005363060005
4,3,2331,70890.0,1585,0,0.6799656799656799,0.0,12.780505453339376,20.158825248262495,-7.378319794923117,2.0598946629686683,9.438214457891785,0.06773331160078948,0.31034670477282766,29791.35821173409,46990.221653699875,-17198.863441965786,4801.614459379966,22000.477901345752
4,4,2324,70767.0,1527,0,0.6570567986230637,0.0,15.238427007794881,20.318566316684223,-5.080139308889345,1.8535788014676826,6.933718110357027,0.06087183481864279,0.2277044510643341,35414.1043661153,47220.348119974136,-11806.243753858838,4307.717134610894,16113.960888469732
4,5,2317,70605.0,1471,0,0.6348726801899007,0.0,15.893750878302212,20.448389963286676,-4.554639084984463,1.9389671346609754,6.493606219645438,0.06362986829558076,0.2130966023782803,36825.820785026226,47378.91954493523,-10553.098759909,4492.58685100948,15045.68561091848
4,6,2310,70355.0,1450,0,0.6277056277056277,0.0,15.946087634249311,20.339130445889065,-4.393042811639754,2.096564430501463,6.489607242141217,0.0688375216325546,0.2130764370598566,36835.46243511591,46983.39133000374,-10147.928894887831,4843.0638344583795,14990.992729346211
4,7,2303,70087.0,1458,0,0.6330872774641771,0.0,15.994264382372787,20.279091823944775,-4.284827441571989,2.1330991553764407,6.417926596948429,0.07009184805787011,0.210887681777965,36834.79087260453,46702.748470544815,-9867.95759794029,4912.527354831943,14780.484952772233
4,8,2296,69871.0,1446,0,0.6297909407665505,0.0,15.860591290302299,20.463747745503117,-4.603156455200816,2.1466118638522875,6.7497683190531035,0.07053886218037314,0.22180114869611034,36415.91760253408,46984.764823675156,-10568.847221141074,4928.620839404852,15497.468060545925
4,9,2289,69692.0,1428,0,0.6238532110091743,0.0,16.126412256325928,20.536163479753746,-4.409751223427819,2.284172085792275,6.693923309220095,0.07502252632122076,0.21985867036108586,36913.35765473005,47007.278205156326,-10093.920550426279,5228.469904378518,15322.390454804796
4,10,2282,69586.0,1442,0,0.6319018404907976,0.0,16.226716892258867,20.96573856888269,-4.7390216766238185,2.294483272307071,7.033504948930889,0.075245176147569,0.2306564293602203,37029.367948134735,47843.81541419029,-10814.447466055553,5236.010827404736,16050.45829346029
5,1,1340,132501.0,1075,0,0.8022388059701493,0.0,25.230875236254768,66.32252343163562,-41.09164819538085,5.292918274498046,46.3845664698789,0.05352797705547416,0.46909320736928567,33809.37281658139,88872.18139839172,-55062.808581810335,7092.510487827381,62155.31906963772
5,2,1336,131921.0,961,0,0.719311377245509,0.0,39.94143738888641,67.3188166004455,-27.377379211559088,7.560028081593698,34.93740729315278,0.07656246933398914,0.3538206664871561,53361.76035155225,89937.93897819519,-36576.17862664294,10100.197517009181,46676.376143652116
5,3,1332,131729.0,848,0,0.6366366366366366,0.0,51.42410732413288,67.22044034190364,-15.796333017770753,8.907996849244595,24.704329867015346,0.09007471250213545,0.24980199791135166,68496.910955745,89537.62653541565,-21040.715579670643,11865.4518031938,32906.16738286444
5,4,1328,131537.0,865,0,0.651355421686747,0.0,58.96962176440057,68.08690126976335,-9.117279505362779,5.232406528887617,14.349686034250398,0.052826473694570775,0.1448746972599689,78311.65770312396,90419.40488624573,-12107.747183121772,6948.635870362756,19056.38305348453
5,5,1324,131321.0,856,0,0.6465256797583081,0.0,60.3178413136225,69.01199933049182,-8.694158016869311,5.402809261564439,14.09696727843375,0.05447201485148085,0.14212795117800112,79860.8218992362,91371.88711357117,-11511.065214334969,7153.319462311317,18664.384676646285
5,6,1320,131037.0,825,0,0.625,0.0,60.77347738210651,69.64772726839239,-8.874249886285874,6.239729682860575,15.113979569146448,0.06285585889005364,0.15225053253106613,80220.9901443806,91934.99999427795,-11714.009849897353,8236.443181375958,19950.45303127331
5,7,1316,130474.0,807,0,0.6132218844984803,0.0,63.406374326259304,70.5193508881566,-7.112976561897301,6.325774567486197,13.438751129383496,0.06380366456774403,0.1355472851776498,83442.78861335725,92803.46576881409,-9360.677155456848,8324.719330811835,17685.39648626868
5,8,1312,129962.0,792,0,0.6036585365853658,0.0,62.468526726790905,70.35781086508821,-7.8892841382973025,8.573674057059078,16.462958195356382,0.08655345687863768,0.16619782053452217,81958.70706554966,92309.44785499573,-10350.740789446061,11248.66036286151,21599.40115230757
5,9,1308,129007.0,781,0,0.5970948012232415,0.0,63.542826450461305,70.52477549485839,-6.981949044397081,8.489027744995013,15.470976789392095,0.08607012247748941,0.15685999705849188,83114.01699720339,92246.40634727478,-9132.389350071382,11103.648290453477,20236.03764052486
5,10,1304,128044.0,793,0,0.6081288343558282,0.0,63.0870496291315,71.21065799882807,-8.123608369696575,8.587920958658804,16.711529328355375,0.08745938060425384,0.1701902021506311,82265.51271638747,92858.6980304718,-10593.185314084332,11198.64893009108,21791.83424417541
6,1,3350,246566.0,2619,0,0.7817910447761194,0.0,11.957243924600867,28.151775499600085,-16.194531574999218,1.891424492439481,18.085956067438698,0.025698076984143236,0.24572711901040548,40056.7671474129,94308.44792366028,-54251.680776247376,6336.272049672261,60587.95282591964
6,2,3340,245848.0,2444,0,0.7317365269461078,0.0,16.507835919586714,28.30555632357112,-11.797720403984403,2.0505110727027263,13.84823147668713,0.027857485042900924,0.1881369510109296,55136.17197141963,94540.55812072754,-39404.38614930791,6848.706982827106,46253.093132135014
6,3,3330,245361.0,2211,0,0.663963963963964,0.0,22.167979549428345,28.40760094238831,-6.239621392959965,2.1903919202371345,8.4300133131971,0.029727646587638858,0.11441078383665841,73819.37189959639,94597.31113815308,-20777.939238556683,7294.005094389658,28071.944332946343
6,4,3320,244920.0,1933,0,0.5822289156626506,0.0,26.342362394231422,28.52655448913574,-2.184192094904322,2.456763543701423,4.640955638605745,0.033302527213329755,0.06291022668696339,87456.64314884832,94708.16090393066,-7251.517755082349,8156.454965088724,15407.972720171074
6,5,3310,244572.0,1849,0,0.5586102719033232,0.0,26.81358158722976,28.588444104151424,-1.7748625169216623,2.6731292202009937,4.447991737122656,0.036177721566104416,0.06019843910944831,88752.9550537305,94627.74998474121,-5874.794931010702,8848.05771886529,14722.852649875993
6,6,3300,244227.0,1884,0,0.5709090909090909,0.0,26.956610983318665,28.68120037830237,-1.7245893949837081,2.796498272847764,4.521087667831472,0.03778633934985739,0.06108902498021865,88956.8162449516,94647.96124839783,-5691.145003446237,9228.444300397621,14919.589303843859
